112,2023-12-31,41,0,0,4,3,27,25,74,6,75
113,2024-01-01,41,0,0,4,2,20,25,25,6,26
114,2024-01-02,41,0,0,4,2,16,25,25,6,26
115,2024-01-03,40,1,0,4,3,12,11,6,2,5
116,2024-01-04,39,2,0,9,0,4,1,2,1,0
117,2024-01-05,39,2,0,9,0,4,1,2,1,0
118,2024-01-06,38,3,0,7,2,9,1,5,2,0
119,2024-01-07,38,3,0,7,2,7,1,4,3,1
120,2024-01-08,38,2,0,10,2,8,2,6,4,3
121,2024-01-09,38,2,0,10,2,8,2,6,4,3
122,2024-01-10,38,2,0,10,2,8,2,6,4,3
123,2024-01-11,38,2,0,10,2,8,2,6,4,3
124,2024-01-12,38,2,0,10,2,8,2,6,4,3
125,2024-01-13,18,2,0,7,2,5,2,5,3,0
126,2024-01-14,18,2,0,7,2,5,2,5,3,0
127,2024-01-15,18,2,0,7,2,5,2,5,3,0
128,2024-01-16,18,2,0,7,2,5,2,5,3,0
129,2024-01-17,18,2,0,7,2,5,2,5,3,0
130,2024-01-18,18,2,0,7,2,5,2,5,3,0
131,2024-01-19,18,2,0,7,2,5,2,5,3,0
132,2024-01-20,18,2,0,7,2,4,2,5,3,0
133,2024-01-21,18,2,0,7,2,4,2,5,3,0
134,2024-01-22,18,2,0,6,2,3,2,4,3,0
135,2024-01-23,18,2,0,6,2,3,2,4,3,0
136,2024-01-24,18,2,0,6,2,3,2,4,3,0
137,2024-01-25,18,2,0,6,2,3,2,4,3,0
138,2024-01-26,18,2,0,6,2,3,2,4,3,0
139,2024-01-27,18,2,0,6,2,1,3,5,3,0
140,2024-01-28,18,2,0,7,2,1,3,6,3,0
141,2024-01-29,18,2,0,7,2,1,3,6,3,0
142,2024-01-30,18,2,0,7,2,1,3,6,3,0
82,2024-01-31,17,3,0,10,2,5,3,5,3,0
83,2024-02-01,17,3,0,10,2,5,3,5,3,0
84,2024-02-02,17,3,0,10,2,5,3,5,3,0
85,2024-02-03,17,3,0,10,0,8,3,0,0,0
86,2024-02-04,17,3,0,9,0,10,4,0,1,1
87,2024-02-05,17,3,0,9,0,10,4,0,1,1
88,2024-02-06,17,3,0,9,0,10,4,0,1,1
89,2024-02-07,14,5,0,19,0,12,5,2,2,2
90,2024-02-08,14,5,0,19,0,12,5,2,2,2
91,2024-02-09,14,5,0,19,0,12,5,2,2,2
92,2024-02-10,14,4,1,21,2,19,8,149,22,107
93,2024-02-11,14,4,1,21,2,19,8,149,22,107
94,2024-02-12,15,4,1,20,2,20,8,88,23,19
95,2024-02-13,15,4,1,20,2,20,8,88,23,19
96,2024-02-14,15,4,1,20,2,20,8,88,23,19
97,2024-02-15,15,4,1,21,1,15,8,65,23,15
98,2024-02-16,15,4,1,21,1,15,8,65,23,15
99,2024-02-17,14,4,1,14,2,28,17,74,30,45
100,2024-02-18,14,4,1,14,2,28,17,62,30,37
101,2024-02-19,14,4,1,14,2,28,17,62,30,37
102,2024-02-20,14,4,1,14,2,28,17,62,30,37
103,2024-02-21,14,4,1,14,2,28,17,62,30,37
104,2024-02-22,14,4,1,14,2,28,17,62,30,37
105,2024-02-23,14,3,1,14,4,20,9,9,3,11
106,2024-02-24,13,3,1,17,4,19,0,8,4,16
107,2024-02-25,13,3,1,17,3,2,0,6,4,16
108,2024-02-26,13,3,1,17,3,2,0,6,4,16
109,2024-02-27,13,3,1,17,3,2,0,6,4,16
110,2024-02-28,13,3,1,17,3,2,0,6,4,16
50,2024-02-29,13,3,1,17,3,2,0,6,4,16
51,2024-03-01,13,3,1,17,3,2,0,6,4,16
52,2024-03-02,15,1,0,4,1,2,1,4,1,1
53,2024-03-03,12,3,1,13,1,6,2,11,12,27
54,2024-03-04,12,3,1,13,1,6,2,11,12,27
55,2024-03-05,12,3,1,13,1,6,2,11,12,27
56,2024-03-06,12,3,1,11,3,13,4,28,14,47
57,2024-03-07,12,3,1,11,3,13,4,28,14,47
58,2024-03-08,12,3,1,11,3,13,4,28,14,47
59,2024-03-09,12,3,1,11,2,5,5,20,17,45
60,2024-03-10,12,3,1,7,2,4,5,20,17,45
61,2024-03-11,12,3,1,7,1,1,1,0,1,2
62,2024-03-12,12,3,1,5,2,11,8,13,1,22
63,2024-03-13,12,3,1,5,2,11,8,13,1,22
64,2024-03-14,12,3,1,5,2,11,8,13,1,22
65,2024-03-15,53,3,1,3,3,20,12,30,3,42
66,2024-03-16,52,3,1,10,4,14,4,6,1,3
67,2024-03-17,41,4,1,14,5,14,5,12,2,4
68,2024-03-18,41,4,1,14,5,14,5,12,2,4
69,2024-03-19,41,4,1,14,5,14,5,12,2,4
70,2024-03-20,41,2,1,11,5,4,1,5,1,2
71,2024-03-21,41,2,1,11,5,4,1,5,1,2
72,2024-03-22,41,2,1,11,5,4,1,5,1,2
73,2024-03-23,41,2,1,10,5,6,9,38,11,22
74,2024-03-24,41,2,1,3,3,3,3,5,0,1
75,2024-03-25,41,2,1,3,3,4,2,0,0,1
76,2024-03-26,41,2,1,3,3,4,2,0,0,1
77,2024-03-27,41,1,1,3,3,1,5,14,1,6
78,2024-03-28,41,1,1,3,2,5,6,18,2,11
79,2024-03-29,41,1,1,3,2,5,6,18,2,11
80,2024-03-30,42,2,1,2,4,22,10,22,4,12
49,2024-03-31,42,2,1,2,4,19,11,4,5,13
20,2024-04-01,42,2,1,0,6,27,12,17,7,23
21,2024-04-02,42,2,1,0,6,27,12,17,7,23
22,2024-04-03,42,2,1,0,6,27,12,17,7,23
23,2024-04-04,42,2,1,0,6,27,12,17,7,23
24,2024-04-05,42,2,1,0,5,30,14,26,8,28
25,2024-04-06,42,1,1,3,4,3,1,2,0,4
26,2024-04-07,42,1,1,1,1,2,3,10,2,5
27,2024-04-08,42,1,1,1,0,6,3,18,4,15
28,2024-04-09,42,1,1,0,0,14,6,22,5,20
